dataset,experiment,success,latency_ms,detail
SQuAD,ingestion,True,1.92,56d43f7e2ccc5a1400d830cb
SQuAD,ingestion,True,1.92,56be892d3aeaaa14008c908b
SQuAD,ingestion,True,1.08,56be892d3aeaaa14008c908c
SQuAD,ingestion,True,1.08,56be892d3aeaaa14008c908d
SQuAD,ingestion,True,1.08,56be892d3aeaaa14008c908e
SQuAD,ingestion,True,1.08,56bf74d53aeaaa14008c9659
SQuAD,ingestion,True,1.08,56bf74d53aeaaa14008c965a
SQuAD,ingestion,True,1.08,56bf74d53aeaaa14008c965b
SQuAD,ingestion,True,1.08,56bf74d53aeaaa14008c965d
SQuAD,ingestion,True,1.08,56d440df2ccc5a1400d830d1
SQuAD,ingestion,True,1.08,56d440df2ccc5a1400d830d2
SQuAD,ingestion,True,1.08,56d440df2ccc5a1400d830d3
SQuAD,ingestion,True,1.33,56d440df2ccc5a1400d830d4
